merchant_id,merchant_name,mcc,mcc_imputed,merchant_category,business_type,city,state,onboarding_date,settlement_account_on_file,merchant_status,declared_avg_ticket_size,declared_avg_ticket_size_was_negative
MCH6146,Handa LLC,5912,False,Pharmacy & Medical,Individual,Amritsar,Punjab,2023-01-01 00:00:00,True,ACTIVE,1061.38,True
MCH9756,"Dugal, Virk and Dhaliwal",4131,False,Transportation & Travel,Partnership,Jalandhar,Punjab,2023-01-01 08:25:47,True,ACTIVE,494.0,False
MCH3423,Sant-Singh,7011,False,Hotel & Lodging,Partnership,Delhi,Delhi,2023-01-01 09:47:09,True,ACTIVE,11283.23,False
MCH9704,"Maharaj, Sangha and Suresh",5411,False,Grocery,Private Limited,Pune,Maharashtra,2023-01-01 16:43:00,True,ACTIVE,1435.77,True
MCH7629,Taneja-Vyas,5999,False,Retail - Other,Individual,Pune,Maharashtra,2023-01-01 17:10:32,True,ACTIVE,1413.56,False
MCH6104,Keer-Gade,5311,False,Department Store,Individual,Kolkata,West Bengal,2023-01-01 20:32:00,True,INACTIVE,935.82,False
MCH4023,"Dhaliwal, Dugar and Vasa",5942,False,Books & Stationery,Partnership,Chennai,Tamil Nadu,2023-01-02 00:00:00,True,ACTIVE,2123.31,True
MCH2044,"Upadhyay, Kapoor and Nazareth",7011,False,Hotel & Lodging,Individual,Lucknow,Uttar Pradesh,2023-01-02 00:58:55,True,ACTIVE,368.05,False
MCH1642,Zacharia-Dhawan,5411,False,Grocery,Partnership,Kolkata,West Bengal,2023-01-02 04:08:32,True,ACTIVE,363.0,False
MCH9868,"Bedi, Konda and Kant",5912,False,Pharmacy & Medical,Individual,Jaipur,Rajasthan,2023-01-02 06:58:00,True,ACTIVE,444.97,False
MCH1774,patla-warrior,5912,False,Pharmacy & Medical,Partnership,Mumbai,Maharashtra,2023-01-02 11:10:48,True,ACTIVE,442.29,False
MCH3553,"Bajwa, Tata and Narula",5912,False,Pharmacy & Medical,Private Limited,Lucknow,Uttar Pradesh,2023-01-02 19:20:00,True,ACTIVE,1334.71,True
MCH5356,"Solanki, Kala and Loke",4814,False,Telecom & Mobile,Partnership,Hyderabad,Telangana,2023-01-03 00:00:00,True,ACTIVE,827.01,True
MCH9996,Kala-Nadkarni,5699,False,Apparel & Fashion,Private Limited,Delhi,Delhi,2023-01-03 00:00:00,True,ACTIVE,628.11,False
MCH7621,"Sankaran, Sur and Panchal",5812,False,Restaurants & Food Service,Individual,Jaipur,Rajasthan,2023-01-03 00:00:00,True,ACTIVE,1992.6,False
MCH2267,Bobal and Sons,7011,False,Hotel & Lodging,Partnership,Delhi,Delhi,2023-01-03 00:00:00,True,ACTIVE,2114.71,False
MCH6602,Thakkar Ltd,4131,False,Transportation & Travel,Partnership,Mumbai,Maharashtra,2023-01-03 08:43:35,True,ACTIVE,483.25,False
MCH1211,"Munshi, Pai and Sibal",5311,False,Retail - Other,Sole Proprietorship,Delhi,Delhi,2023-01-04 00:00:00,True,ACTIVE,296.16,False
MCH7431,Nagarajan and Sons,7011,False,Hotel & Lodging,Sole Proprietorship,Jaipur,Rajasthan,2023-01-04 00:00:00,True,ACTIVE,1657.0,False
MCH3604,"Shetty, Bali and Sama",5411,False,Grocery,Partnership,Ludhiana,Punjab,2023-01-04 01:07:44,True,ACTIVE,394.0,False
MCH9386,"Kothari,SantandLoyal",5699,False,Apparel & Fashion,Individual,Bengaluru,Karnataka,2023-01-04 07:17:00,True,ACTIVE,2792.0,False
MCH9542,"Buch, Singhal and Bhardwaj",5812,False,Restaurants & Food Service,Individual,Chennai,Tamil Nadu,2023-01-05 00:00:00,True,INACTIVE,2703.0,False
MCH7314,Mahajan-B0rde,5999,False,Retail - Other,Partnership,Lucknow,Uttar Pradesh,2023-01-05 09:53:50,True,ACTIVE,1003.0,False
MCH4528,Memon LLC,5912,False,Pharmacy & Medical,Partnership,Hyderabad,Telangana,2023-01-05 23:02:24,True,ACTIVE,490.99,False
MCH4551,SURA GROUP,5699,False,Apparel & Fashion,Sole Proprietorship,Jalandhar,Punjab,2023-01-06 00:00:00,True,ACTIVE,3287.63,False
MCH1040,Krishnan and S0ns,5411,False,Grocery,Sole Proprietorship,Jalandhar,Punjab,2023-01-06 00:00:00,True,ACTIVE,1030.03,False
MCH2960,Malhotra-Buch,4131,False,Retail - Other,Private Limited,Chennai,Tamil Nadu,2023-01-06 00:00:00,True,ACTIVE,2348.07,False
MCH8939,"DHAWAN, KAMDAR AND DALAL",5812,False,Restaurants & Food Service,Individual,Bengaluru,Karnataka,2023-01-06 17:37:02,True,ACTIVE,729.0,False
MCH7042,BARAD-RAMAN,4814,False,Telecom & Mobile,Sole Proprietorship,Chennai,Tamil Nadu,2023-01-07 00:00:00,True,ACTIVE,986.23,False
MCH4148,"Wali, Babu and Tank",4814,False,Telecom & Mobile,Partnership,Jaipur,Rajasthan,2023-01-08 00:00:00,True,ACTIVE,2368.62,False
MCH7737,Pal-Rama,5311,False,Department Store,Partnership,Ludhiana,Punjab,2023-01-09 00:00:00,True,ACTIVE,1196.31,False
MCH4831,"Raja, Rout and Singh",5411,False,Grocery,Individual,Kolkata,West Bengal,2023-01-09 00:00:00,True,ACTIVE,1885.15,False
MCH9447,Singh and Sons,7011,False,Hotel & Lodging,Private Limited,Chennai,Tamil Nadu,2023-01-10 00:00:00,True,ACTIVE,1158.32,False
MCH9715,Desai PLC,7011,False,Hotel & Lodging,Partnership,Kolkata,West Bengal,2023-01-10 00:00:00,True,INACTIVE,547.82,False
MCH9594,Ben Group,5311,False,Department Store,Sole Proprietorship,Jaipur,Rajasthan,2023-01-10 00:00:00,True,ACTIVE,4070.31,False
MCH6825,Viswanathan Ltd,5912,False,Pharmacy & Medical,Partnership,Mumbai,Maharashtra,2023-01-10 00:00:00,True,ACTIVE,1083.22,False
MCH9555,Chandra Ltd,4814,False,Telecom & Mobile,Partnership,Jaipur,Rajasthan,2023-01-10 01:23:43,True,INACTIVE,7981.95,False
MCH9012,nagy-master,5999,False,Retail - Other,Private Limited,Mumbai,Maharashtra,2023-01-10 02:07:00,True,BLOCKED,297.61,False
MCH8716,"Naik, Chada and Divan",5999,False,Retail - Other,Private Limited,Ludhiana,Punjab,2023-01-11 00:00:00,True,ACTIVE,225.43,False
MCH2532,Chad Inc,5999,False,Retail - Other,Partnership,Jaipur,Rajasthan,2023-01-11 00:00:00,True,INACTIVE,351.38,False
MCH1516,LOYAL AND SONS,5999,False,Retail - Other,Private Limited,Ludhiana,Punjab,2023-01-12 14:16:00,True,ACTIVE,1471.99,False
MCH9813,Modi Group,5912,False,Pharmacy & Medical,Sole Proprietorship,Kolkata,West Bengal,2023-01-13 00:00:00,True,INACTIVE,3354.47,False
MCH4369,"Tandon, Viswanathan and Chaudhary",5812,False,Restaurants & Food Service,Private Limited,Pune,Maharashtra,2023-01-13 00:00:00,True,SUSPENDED,226.61,False
MCH3760,Das-Ahuja,5812,False,Restaurants & Food Service,Sole Proprietorship,Lucknow,Uttar Pradesh,2023-01-13 00:00:00,True,ACTIVE,755.0,False
MCH2752,Palla LLC,4131,False,Transportation & Travel,Sole Proprietorship,Lucknow,Uttar Pradesh,2023-01-13 21:44:09,True,ACTIVE,69.28,False
MCH7982,De0 Ltd,5311,False,Department Store,Partnership,Ludhiana,Punjab,2023-01-14 04:48:22,True,ACTIVE,579.0,False
MCH9969,Tiwari and Sons,5942,False,Books & Stationery,Private Limited,Ludhiana,Punjab,2023-01-15 00:00:00,True,INACTIVE,1542.28,False
MCH3835,"Pillai, Ratti and Chaudhuri",4814,False,Telecom & Mobile,Partnership,Ludhiana,Punjab,2023-01-15 10:05:00,True,INACTIVE,6901.65,False
MCH1296,Gaba-Rama,5912,False,Pharmacy & Medical,Individual,Delhi,Delhi,2023-01-16 00:00:00,True,ACTIVE,2547.8,False
MCH4308,Natt Group,5912,False,Pharmacy & Medical,Partnership,Delhi,Delhi,2023-01-16 00:00:00,True,ACTIVE,2114.37,False
MCH6866,Shroff PLC,5912,False,Pharmacy & Medical,Partnership,Ludhiana,Punjab,2023-01-16 00:00:00,True,ACTIVE,1819.8,False
MCH3743,doctor ltd,5912,False,Pharmacy & Medical,Sole Proprietorship,Hyderabad,Telangana,2023-01-16 20:06:00,True,ACTIVE,12417.3,False
MCH9790,YOHANNAN-NARANG,7011,False,Hotel & Lodging,Private Limited,Lucknow,Uttar Pradesh,2023-01-17 00:00:00,True,ACTIVE,1704.7,False
MCH7973,"Dhar, Som and Mane",7011,False,Hotel & Lodging,Sole Proprietorship,Kolkata,West Bengal,2023-01-17 11:57:28,True,ACTIVE,1422.91,False
MCH2430,Balay-Golla,5999,False,Retail - Other,Sole Proprietorship,Jalandhar,Punjab,2023-01-17 13:33:08,True,CLOSED,612.46,True
MCH6291,"Bal, Divan and Natt",7011,False,Hotel & Lodging,Private Limited,Amritsar,Punjab,2023-01-18 00:00:00,True,ACTIVE,908.0,False
MCH5662,BUCH PLC,4131,False,Transportation & Travel,Partnership,Delhi,Delhi,2023-01-18 20:50:14,True,ACTIVE,2776.96,False
MCH1247,"Nayak, Lala and Pillai",5411,False,Grocery,Sole Proprietorship,Bengaluru,Karnataka,2023-01-19 00:00:00,True,INACTIVE,677.02,False
MCH8697,Karnik Ltd,5999,False,Retail - Other,Sole Proprietorship,Hyderabad,Telangana,2023-01-19 11:39:00,True,ACTIVE,353.31,False
MCH1058,"Vyas,VirkandDatta",5311,False,Department Store,Partnership,Pune,Maharashtra,2023-01-20 00:00:00,True,ACTIVE,1504.39,False
MCH6985,Devi-Radhakrishnan,5942,False,Books & Stationery,Individual,Jalandhar,Punjab,2023-01-20 03:57:02,True,ACTIVE,694.07,False
MCH4124,kakar-prabhu,7011,False,Hotel & Lodging,Partnership,Jalandhar,Punjab,2023-01-21 00:00:00,True,ACTIVE,930.0,False
MCH4428,Raja-Kapadia,5942,False,Books & Stationery,Private Limited,Pune,Maharashtra,2023-01-21 00:00:00,True,ACTIVE,3396.0,False
MCH4433,"PATIL, SUBRAMANIAN AND MADAN",7011,False,Hotel & Lodging,Partnership,Kolkata,West Bengal,2023-01-23 00:00:00,True,ACTIVE,830.16,False
MCH7679,Sodhi-Dugal,5411,False,Grocery,Individual,Jalandhar,Punjab,2023-01-23 00:00:00,True,ACTIVE,975.38,False
MCH3725,Puri PLC,5812,False,Restaurants & Food Service,Sole Proprietorship,Amritsar,Punjab,2023-01-23 00:00:00,True,ACTIVE,6457.0,False
MCH2885,"Varkey, Goda and Bala",5812,False,Restaurants & Food Service,Private Limited,Mumbai,Maharashtra,2023-01-23 00:00:00,True,ACTIVE,4853.92,False
MCH9100,Dey-Bandi,5999,False,Retail - Other,Sole Proprietorship,Mumbai,Maharashtra,2023-01-23 11:38:30,True,ACTIVE,707.08,False
MCH8365,"Kashyap,SharmaandBalasubramanian",4814,False,Telecom & Mobile,Private Limited,Jalandhar,Punjab,2023-01-24 00:00:00,True,ACTIVE,786.29,False
MCH7945,"Barad, Wagle and Raju",5912,False,Pharmacy & Medical,Individual,Ludhiana,Punjab,2023-01-24 00:00:00,True,ACTIVE,268.67,False
MCH2236,Yohannan-Chada,5311,False,Department Store,Private Limited,Kolkata,West Bengal,2023-01-24 08:58:43,True,INACTIVE,5340.64,False
MCH2851,Minhas Group,5311,False,Department Store,Sole Proprietorship,Hyderabad,Telangana,2023-01-25 00:00:00,True,ACTIVE,1535.83,False
MCH4733,Sankar Inc,5411,False,Grocery,Sole Proprietorship,Jaipur,Rajasthan,2023-01-25 00:00:00,True,ACTIVE,1176.53,False
MCH2701,"Prabhakar, Saraf and Mand",7011,False,Hotel & Lodging,Private Limited,Hyderabad,Telangana,2023-01-25 00:00:00,True,ACTIVE,2599.41,False
MCH8177,"Ghose, Om and Dada",5912,False,Pharmacy & Medical,Individual,Jaipur,Rajasthan,2023-01-25 03:52:09,True,ACTIVE,578.46,False
MCH4463,"KANT, VARMA AND MADAN",5411,False,Grocery,Individual,Amritsar,Punjab,2023-01-26 00:00:00,True,CLOSED,703.89,False
MCH2418,Dasgupta-Dhingra,4131,False,Transportation & Travel,Individual,Mumbai,Maharashtra,2023-01-26 00:00:00,True,INACTIVE,665.99,False
MCH2776,"MITTAL, SHAH AND KADE",5411,False,Grocery,Private Limited,Mumbai,Maharashtra,2023-01-27 00:00:00,True,ACTIVE,10044.9,False
MCH7106,Master and Sons,5812,False,Restaurants & Food Service,Partnership,Lucknow,Uttar Pradesh,2023-01-27 00:00:00,True,ACTIVE,1328.09,False
MCH1792,Palan-Naidu,5699,False,Apparel & Fashion,Partnership,Bengaluru,Karnataka,2023-01-28 00:00:00,True,ACTIVE,443.5,False
MCH3507,"Sundaram, Shan and Subramanian",7011,False,Hotel & Lodging,Individual,Amritsar,Punjab,2023-01-28 00:00:00,True,ACTIVE,950.31,False
MCH5567,"Kibe, Halder and Saraf",5912,False,Pharmacy & Medical,Sole Proprietorship,Bengaluru,Karnataka,2023-01-28 02:44:29,True,ACTIVE,1983.35,False
MCH6061,Basu and Sons,7011,False,Hotel & Lodging,Private Limited,Amritsar,Punjab,2023-01-29 00:00:00,True,ACTIVE,2357.91,True
MCH8607,Dash-Dora,5411,False,Grocery,Private Limited,Delhi,Delhi,2023-01-29 00:00:00,True,ACTIVE,3092.32,False
MCH6079,Gulati Inc,4131,False,Transportation & Travel,Sole Proprietorship,Pune,Maharashtra,2023-01-29 08:05:00,True,ACTIVE,2029.26,False
MCH4687,GOEL LLC,5942,False,Books & Stationery,Individual,Lucknow,Uttar Pradesh,2023-01-30 00:00:00,True,ACTIVE,820.0,False
MCH6091,Dutt-Nair,5699,False,Apparel & Fashion,Private Limited,Kolkata,West Bengal,2023-01-30 00:00:00,True,ACTIVE,1466.59,False
MCH1095,Mander Group,4814,False,Telecom & Mobile,Partnership,Kolkata,West Bengal,2023-01-30 03:08:00,True,ACTIVE,1277.94,False
MCH1987,"DORA, SARMA AND BISWAS",4814,False,Telecom & Mobile,Partnership,Mumbai,Maharashtra,2023-01-31 00:00:00,True,ACTIVE,3268.84,False
MCH8337,Date-Mand,5999,False,Retail - Other,Partnership,Ludhiana,Punjab,2023-01-31 03:03:00,True,INACTIVE,333.78,False
MCH4277,Khalsa Inc,5311,False,Department Store,Individual,Amritsar,Punjab,2023-01-31 21:37:31,True,ACTIVE,1332.99,False
MCH1364,Krishnamurthy LLC,4131,False,Transportation & Travel,Individual,Hyderabad,Telangana,2023-02-01 00:00:00,True,ACTIVE,377.26,False
MCH4009,Batra Inc,5912,False,Pharmacy & Medical,Individual,Bengaluru,Karnataka,2023-02-01 00:00:00,True,INACTIVE,1109.0,False
