complaint_id,txn_id,txn_id_valid_fk,user_id,user_id_valid_fk,merchant_id,merchant_id_valid_fk,transaction_timestamp,reported_timestamp,bank_response_timestamp,timestamps_logically_valid,reporting_delay_days,disputed_amount,disputed_amount_was_negative,disputed_amount_missing,reason_code,reason_code_raw,complaint_text,resolution_status,severity,channel
CBK0002082,TXN00004325,True,USR97580,True,MCH1127,False,2026-01-28 00:00:00,2026-02-01 00:00:00,2026-02-10 03:19:10,True,4.0,,False,True,SERVICE_NOT_DELIVERED,Merchant Not Delivered,Customer says amount was debited twice.,CLOSED,CRITICAL,IVR
CBK0001941,TXN00003720,True,USR54113,False,MCH3835,True,2026-02-25 10:24:00,2026-03-05 06:24:15,2026-03-12 06:24:00,True,7.0,414.69,False,False,ACCOUNT_TAKEOVER,login compromised,User reports money deducted but merchant denies receiving payment.,IN_PROGRESS,HIGH,CALL_CENTER
CBK0001799,TXN00012539,True,USR17980,False,MCH3700,True,2026-02-04 00:00:00,2026-02-05 00:00:00,2026-03-06 00:00:00,True,1.0,7039.0,False,False,GENERAL_DISPUTE,customer issue,merchant service was not delivered after payment.,OPEN,LOW,IVR
CBK0002465,TXN00017802,True,USR76148,False,MCH4534,True,2026-03-30 00:00:00,2026-04-01 00:00:00,2026-04-07 00:00:00,True,2.0,1303.05,False,False,GENERAL_DISPUTE,no service,Suspicious high-value payment disputed by customer. pls check asap,REJECTED,HIGH,IVR
CBK0001870,TXN00015944,True,USR24660,False,MCH1686,True,2026-01-09 00:00:00,2026-01-14 21:01:41,2026-01-26 00:00:00,True,5.0,1459.42,False,False,SERVICE_NOT_DELIVERED,merchant service issue,Merchant service was not delivered after payment.,IN_PROGRESS,LOW,APP
CBK0002663,TXN00009741,True,USR40631,False,MCH9584,True,2026-02-05 00:00:00,2026-02-06 00:00:00,2026-02-23 00:00:00,True,1.0,548.0,False,False,SERVICE_NOT_DELIVERED,service failed,Complaint received after multiple failed attempts. urgent,CLOSED,LOW,BRANCH
CBK0000782,TXN00015086,True,USR58789,True,MCH6008,False,2026-02-05 00:00:00,2026-02-10 00:00:00,2026-03-03 00:00:00,True,5.0,1949.6,False,False,AMOUNT_MISMATCH,extra amount deducted,User says UPI PIN was not entered by them.,IN_PROGRESS,MEDIUM,CHATBOT
CBK0001838,TXN00014426,True,USR30157,False,MCH4526,True,2026-03-26 10:17:08,2026-04-06 04:17:08,2026-04-18 00:00:00,True,10.0,4193.52,False,False,SERVICE_NOT_DELIVERED,Service Not Provided,Merchant service was not delivered after payment. details missing,OPEN,MEDIUM,CHATBOT
CBK0001095,TXN00015316,True,USR86750,False,MCH5980,True,2026-01-12 00:00:00,2026-01-13 00:00:00,2026-01-14 00:00:00,True,1.0,930.83,False,False,GENERAL_DISPUTE,dispute raised,Customer complaint text unclear due to poor call center notes.,OPEN,HIGH,BRANCH
CBK0002541,TXN00002822,True,USR11987,True,MCH3992,False,2026-03-18 10:04:06,2026-03-23 00:00:00,2026-03-30 00:00:00,True,4.0,,False,True,UNAUTHORIZED_TRANSACTION,UNAUTHORISED,User claims account was compromised before transaction.,OPEN,HIGH,IVR
