txn_id,timestamp,user_id,user_id_valid_fk,merchant_id,merchant_id_valid_fk,amount,amount_was_negative,amount_missing,utr,utr_valid,utr_missing,mcc,status
TXN00011869,2026-01-15 00:11:30,USR45826,False,MCH7045,False,15722.34,False,False,UTR6498104698,True,False,5411,SUCCESS
TXN00010383,2026-01-17 20:09:44,USR79397,True,MCH5031,False,6362.9,False,False,UTR7656190355,True,False,4131,PENDING
TXN00008297,2026-01-23 14:10:16,USR87810,False,MCH9809,False,15446.19,False,False,UTR9037001889,True,False,5411,SUCCESS
TXN00006448,2026-02-02 20:17:51,USR54287,False,MCH6928,True,12110.49,False,False,UTR5257823698,True,False,5411,SUCCESS
TXN00018792,2026-03-31 14:02:37,USR53865,False,MCH8121,False,19432.94,False,False,UTR4204272894,True,False,4131,PENDING
TXN00000400,2026-02-11 01:40:43,USR90546,True,MCH6773,True,18866.03,False,False,UTR2080442730,True,False,5812,SUCCESS
TXN00015249,2026-03-10 21:27:31,USR18691,True,MCH7856,True,19982.69,False,False,UTR5471158093,True,False,,SUCCESS
TXN00007121,2026-02-25 00:53:02,USR16629,False,MCH7753,False,22687.5,False,False,UTR3330570580,True,False,5411,SUCCESS
TXN00008460,2026-02-07 09:53:11,USR20899,True,MCH9111,True,8256.07,False,False,UTR6505850115,True,False,,SUCCESS
TXN00002541,2026-03-30 09:37:49,USR51755,False,MCH2949,True,16466.93,False,False,UTR2787678319,True,False,5411,FAILED
TXN00003797,2026-03-14 12:21:17,USR81003,False,MCH5292,True,13312.0,False,False,UTR2464640119,True,False,,SUCCESS
TXN00000092,2026-01-27 23:43:31,USR70687,True,MCH4523,False,17833.99,False,False,UTR5315091377,True,False,5411,SUCCESS
TXN00004622,2026-03-11 01:40:12,USR37834,False,MCH5213,True,19118.63,False,False,UTR1692756805,True,False,5812,SUCCESS
TXN00001542,2026-02-21 01:33:17,USR78386,False,MCH4890,False,2680.85,False,False,UTR3430344329,True,False,5912,SUCCESS
TXN00002592,2026-02-21 05:47:48,USR21114,False,MCH9819,False,20100.92,False,False,UTR3572682179,True,False,,PENDING
TXN00017665,2026-01-21 15:06:13,USR96222,False,MCH6009,True,16257.95,False,False,UTR4021669116,True,False,5411,PENDING
TXN00002012,2026-03-06 13:48:49,USR13976,False,MCH8222,False,1575.7,False,False,UTR0496925866,True,False,5411,PENDING
TXN00015655,2026-01-09 05:05:51,USR55935,False,MCH8480,True,18230.29,False,False,UTR6094940155,True,False,,PENDING
TXN00011091,2026-03-03 19:17:39,USR13890,False,MCH8216,False,23820.57,True,False,UTR6527062794,True,False,4131,SUCCESS
TXN00008584,2026-01-17 18:53:31,USR15778,False,MCH3250,True,5546.0,False,False,UTR0928079796,True,False,5912,SUCCESS
TXN00004474,2026-01-17 19:39:58,USR15834,False,MCH3895,True,8892.43,False,False,UTR4987418462,True,False,5812,PENDING
TXN00013857,2026-01-24 07:35:23,USR33189,False,MCH4645,False,1816.08,False,False,UTR8739611115,True,False,5912,PENDING
TXN00012705,2026-01-23 18:56:04,USR48168,True,MCH4207,False,3530.72,False,False,UTR0498515755,True,False,5411,SUCCESS
